name,symbol,price,change,volume,mkt_cap,PE_ratio
"Salesforce, Inc.",CRM,245.78,+5.42,12.742M,233.983B,35.72
Coterra Energy Inc.,CTRA,23.84,+0.54,12.555M,18.193B,11.41
"The Trade Desk, Inc.",TTD,53.14,+1.59,12.54M,25.982B,64.02
Amcor plc,AMCR,8.07,-0.11,12.442M,18.742B,25.22
AppLovin Corporation,APP,587.00,-95.76,13.906M,198.553B,80.97
BlackBerry Limited,BB,4.8000,+0.3000,12.351M,2.995B,120.00
Novo Nordisk A/S,NVO,59.65,+0.02,13.294M,259.261B,15.22
"NIKE, Inc.",NKE,71.17,-0.76,12.27M,105.204B,36.50
The Coca-Cola Company,KO,66.10,-0.55,12.139M,284.472B,23.44
"Coeur Mining, Inc.",CDE,19.34,+0.61,11.715M,12.43B,48.35
"Cisco Systems, Inc.",CSCO,68.91,+0.99,17.05M,272.415B,27.02
"Merck & Co., Inc.",MRK,88.80,-0.39,11.644M,221.803B,13.68
Occidental Petroleum Corporation,OXY,45.40,+0.55,11.569M,44.694B,26.71
"Pinterest, Inc.",PINS,32.04,+0.09,12.348M,21.785B,11.61
F.N.B. Corporation,FNB,16.47,+0.22,11.42M,5.915B,12.77
"Conagra Brands, Inc.",CAG,18.72,-0.39,11.378M,8.955B,10.58
CSX Corporation,CSX,36.25,+0.24,12.674M,67.58B,22.24
"Compass, Inc.",COMP,7.64,-0.19,11.527M,4.182B,--
Bloom Energy Corporation,BE,86.97,-3.32,12.248M,20.351B,790.64
Western Digital Corporation,WDC,125.28,-6.03,12.461M,43.462B,28.15
TMC the metals company Inc.,TMC,7.72,+0.31,11.255M,3.915B,--
The Kraft Heinz Company,KHC,25.27,-0.79,12.497M,29.921B,--
Centene Corporation,CNC,37.64,-1.06,13.006M,18.486B,9.14
Walmart Inc.,WMT,102.70,+0.63,13.257M,818.812B,38.75
"JD.com, Inc.",JD,35.91,+0.51,11.191M,53.991B,10.17
Shopify Inc.,SHOP,164.50,+3.36,11.175M,214.114B,91.39
"iQIYI, Inc.",IQ,2.4600,-0.0100,11.793M,2.369B,246.00
"Applied Optoelectronics, Inc.",AAOI,33.79,+5.86,10.685M,2.107B,--
Wells Fargo & Company,WFC,80.69,+0.02,12.835M,258.486B,13.86
MP Materials Corp.,MP,74.33,+2.83,10.243M,13.164B,--
UWM Holdings Corporation,UWMC,5.60,-0.38,10.198M,9.163B,140.00
The Western Union Company,WU,8.07,+0.06,10.173M,2.606B,3.06
Norwegian Cruise Line Holdings Ltd.,NCLH,24.10,-0.22,10.159M,10.972B,16.51
Circle Internet Group,CRCL,148.51,+2.73,10.682M,37.185B,--
Dell Technologies Inc.,DELL,145.76,+5.02,9.945M,97.688B,21.28
"Patterson-UTI Energy, Inc.",PTEN,5.81,+0.25,10.792M,2.238B,--
Permian Resources Corporation,PR,12.61,+0.02,9.769M,10.618B,8.08
"The Gap, Inc.",GAP,21.51,-0.08,9.733M,7.981B,9.27
Truist Financial Corporation,TFC,45.33,-0.19,9.666M,58.45B,12.28
Alibaba Group Holding Limited,BABA,187.22,-0.81,10.838M,434.163B,21.59
"Core Scientific, Inc.",CORZ,17.91,+0.09,9.963M,5.591B,--
Maplebear Inc.,CART,37.85,-0.33,9.551M,9.971B,21.88
Telefonaktiebolaget LM Ericsson (publ),ERIC,8.42,0.00,9.802M,28.136B,15.31
"Fluence Energy, Inc.",FLNC,15.26,+1.47,9.507M,2.785B,--
Teva Pharmaceutical Industries Limited,TEVA,19.96,-0.05,9.326M,22.897B,--
Enovix Corporation,ENVX,12.96,+1.04,9.232M,2.821B,--
Schlumberger Limited,SLB,34.59,+0.33,9.208M,51.673B,11.85
Sandisk Corporation,SNDK,121.17,-7.24,9.477M,17.667B,--
Wipro Limited,WIT,2.6600,+0.0400,9.026M,28.892B,19.00
General Motors Company,GM,58.19,-1.94,8.904M,55.401B,8.88
"Mattel, Inc.",MAT,18.07,+0.01,9.64M,5.822B,11.73
Sprott Physical Gold Trust,PHYS,30.28,+0.42,8.909M,14.052B,3.98
The Goodyear Tire & Rubber Company,GT,7.56,-0.16,8.814M,2.163B,5.14
NANO Nuclear Energy Inc.,NNE,53.63,+9.14,8.762M,2.233B,--
"Confluent, Inc.",CFLT,21.26,+0.96,9.484M,7.329B,--
"Coinbase Global, Inc.",COIN,386.07,+6.05,8.666M,99.196B,37.19
Peabody Energy Corporation,BTU,31.28,-0.72,8.963M,3.804B,28.70
Lam Research Corporation,LRCX,149.15,+3.34,10.972M,188.083B,35.94
"ASE Technology Holding Co., Ltd.",ASX,11.39,+0.31,8.507M,24.769B,23.24
"American Eagle Outfitters, Inc.",AEO,15.76,-1.18,9.398M,2.669B,15.45
CNH Industrial N.V.,CNH,10.96,+0.05,8.469M,13.709B,16.86
U.S. Bancorp,USB,47.72,-0.35,8.427M,74.261B,11.42
Haleon plc,HLN,8.79,-0.16,8.352M,39.141B,19.53
Trump Media & Technology Group Corp.,DJT,17.62,+0.28,8.597M,4.931B,195.78
Citigroup Inc.,C,98.05,+0.31,8.217M,180.5B,14.48
"Kinder Morgan, Inc.",KMI,27.93,-0.53,8.25M,62.063B,22.89
Dow Inc.,DOW,23.42,-0.40,9.266M,16.601B,--
Strategy Inc,MSTR,359.69,+8.06,9.166M,102.073B,25.21
"QXO, Inc.",QXO,19.77,-0.46,8.141M,13.316B,2.10
Exxon Mobil Corporation,XOM,114.20,+0.94,8.127M,486.863B,16.22
"Banc of California, Inc.",BANC,17.81,+0.71,8.055M,2.806B,27.40
"ImmunityBio, Inc.",IBRX,2.5300,-0.0100,8.037M,2.391B,--
GameStop Corp.,GME,25.05,-0.33,8.09M,11.214B,31.31
Target Corporation,TGT,88.96,-0.07,8.023M,40.423B,10.37
Galaxy Digital,GLXY,38.84,+2.68,7.984M,14.76B,--
WeRide Inc.,WRD,11.30,+0.33,8.121M,3.215B,--
United Microelectronics Corporation,UMC,7.35,+0.10,7.948M,18.458B,13.36
"Astera Labs, Inc.",ALAB,220.81,+20.07,8.569M,38.323B,276.01
EQT Corporation,EQT,57.19,+1.16,7.921M,35.69B,30.10
Bitdeer Technologies Group,BTDR,20.89,+1.47,7.911M,4.468B,--
Halliburton Company,HAL,24.36,+0.05,7.895M,20.769B,11.44
"Applied Materials, Inc.",AMAT,223.91,+6.38,7.883M,183.345B,26.75
"Medical Properties Trust, Inc.",MPW,5.40,-0.14,8.008M,3.246B,--
"Altria Group, Inc.",MO,65.37,-0.36,7.767M,109.848B,12.64
Corning Incorporated,GLW,85.34,+1.78,7.855M,73.104B,90.79
HP Inc.,HPQ,26.61,-0.03,7.706M,24.872B,9.68
Fermi Inc.,FRMI,26.35,-2.25,7.791M,15.749B,--
Eightco Holdings Inc.,ORBS,11.07,+2.83,7.738M,2.081B,--
"Albertsons Companies, Inc.",ACI,16.80,-0.58,7.672M,9.405B,10.24
Zeta Global Holdings Corp.,ZETA,19.98,+0.65,7.947M,4.724B,--
XPeng Inc.,XPEV,23.63,+0.56,7.642M,23.848B,--
Colgate-Palmolive Company,CL,77.45,-0.55,7.483M,62.597B,21.76
"Annaly Capital Management, Inc.",NLY,20.45,-0.31,7.312M,13.13B,19.66
ON Semiconductor Corporation,ON,50.35,+1.08,7.322M,20.592B,47.95
"Moderna, Inc.",MRNA,27.54,-0.95,8.336M,10.715B,--
